University,Course Title,Short Description,Syllabus,Credits
University of British Columbia ,Experimentation and Causal Inference,"Statistical evidence from randomized experiments versus observational studies. Applications of randomization, e.g., A/B testing for website optimization. Methods for dealing with the multiple testing problem.","Randomization. A/B testing. Blocked designs. Orthogonality. Batch effects, confounding. Causality. Contemporary examples. Simulations.",1
University of British Columbia ,Capstone Project,"A mentored group project based on real data and questions from a partner within or outside the university. Students will formulate questions and design and execute a suitable analysis plan. The group will work collaboratively to produce a reproducible analysis pipeline, project report, presentation and possibly other products, such as a dashboard.",A capstone design project designed to give students experience in leading complex multidisciplinary projects relevant to data science.,6
University of British Columbia ,Corpus Linguistics,"Basic processing of text corpora using Python. Includes string manipulation, corpus readers, linguistic comparison of corpora, structured text formats, and text preprocessing tools.","Describe, compare, and apply the main theories used in corpus linguistics, using qualitative and quantitative corpora, to perform diachronic and synchronic analyses.",1
University of British Columbia ,Parsing for Computational Linguistics,"The identification of syntactic structure in natural language. Parsing algorithms for popular grammar formalisms, application of statistical information to parsing, parser evaluation, and extraction of parse features.","Methods of natural language parsing: finite state approaches, class-based language models, part-of-speech tagging, NP chunking, shallow parsing, and context free syntactic parsing.",1
University of British Columbia ,Computational Semantics,"How meaning is represented by computers. An overview of popular semantic resources, and techniques for building new resources from unstructured text data.","Language processing to analyze lexical semantics. WordNet, FrameNet, and the semantic web, applied to word-sense disambiguation, entailment, question-answering, and knowledge base populations.",1
University of British Columbia ,Advanced Corpus Linguistics,Text corpora collection and curation. How to pull representative datasets from internet sources. Techniques for efficient and reliable annotation.,"Advanced computational techniques in multilingual corpora. Language change and linguistic variation; best practices for data collection, annotation and analysis.",1
University of British Columbia ,Computational Linguistics,"Approaches to sub-word phenomenon in language processing. Automatic morphological analysis of diverse languages, part of speech tagging, word segmentation, and character-level neural network models.",Identify and differentiate morphological processes occurring in natural language for implementation in computational linguistics applications.,1
University of British Columbia ,Machine Translation,"Key methodologies for automatic translation between languages, with a focus on statistical and neural machine translation approaches. Applying Machine Translation (MT) architectures to analogous monolingual tasks. MT evaluation.","Machine translation (MT), including an ability to implement lexical translation models, discriminative training models, and syntactic models in MT. Includes noisy channel translation, phrase-based machine translation, and how to evaluate models.",1
University of British Columbia ,Advanced Computational Semantics,"Application of machine learning to various semantic tasks. Likely topics include: information extraction, semantic role labelling, semantic parsing, discourse parsing, question answering, summarization, and natural language inference.",Statistical and neural approaches to natural-language meaning in computational semantics,1
University of British Columbia ,Sentiment Analysis,"Identification and analysis of opinion, especially in social media. Text polarity and emotion classification, fine-grained (e.g. aspectual) opinion mining, argumentation mining, sentiment in social networks.","Data crawling, annotation, evaluation, and modelling lexical information.",1
University of British Columbia ,Natural Language Processing for Low Resource Languages ,"Building automatic language tools when data is scarce. Rule-based and hybrid systems, semi-supervised learning, active learning. Knowledge transfer from other (related) languages.",Computational tools in relation to low-resource and other under-documented and very-low-resource language.,1
University of British Columbia ,Trends in Computational Linguistics,"Cutting-edge techniques in natural language processing. For this iteration, the latest innovations in neural network architectures.","Techniques for identifying, analyzing, and synthesizing primary sources for the most current research in computational linguistics.",1
University of British Columbia Okanagan,Computing Platforms for Data Science,"Installation and configuration of data science software. Advanced data analysis using Excel. Analysis of data using libraries in R, Python, and cloud services.",Introduction to software and tools for Data Science. Setup process.,1
University of British Columbia Okanagan,Programming for Data Science,"Programming in R and Python including iteration, decisions, functions, data structures, and libraries that are important for data exploration and analysis.","Programming including decisions, loops, functions, and using data structures and libraries. Credit will be granted for only one of DATA 301 or DATA 531. Restricted to students in the MDS program.",1
University of British Columbia Okanagan,Scripting and Reporting,Command line scripting including bash and Linux/Unix. Reporting and visualization.,Scripting engines for data science. Reporting tools. Automation.,1
University of British Columbia Okanagan,Modelling and Simulation I,"Pseudorandom number generation, testing and transformation to other discrete and continuous data types. Introduction to Poisson processes and the simulation of data from predictive models, as well as temporal and spatial models.","Pseudorandom number generation, testing and transformation to other discrete and continuous data types. Introduction to Poisson processes and the simulation of data from predictive models, as well as temporal and spatial models.",1
University of British Columbia Okanagan,Algorithms and Data Structures,"How to choose and use appropriate algorithms and data structures such as lists, queues, stacks, hash tables, trees and graphs to solve data science problems. Key concepts include recursion, searching and sorting, and asymptotic complexity.","Data structures including lists, queues, stacks, hash tables, trees and graphs. Recursion. Searching and sorting. Asymptotic complexity.",1
University of British Columbia Okanagan,Databases and Data Retrieval,"How to use and query relational SQL and NoSQL databases for analysis. Experience with SQL, JSON, and programming with databases.","Using and querying relational and NoSQL databases for analysis. Experience with SQL, JSON, and programs that use databases.",1
University of British Columbia Okanagan,"Privacy, Security and Professional Ethics","The legal, ethical, and security issues concerning data, including aggregated data. Proactive compliance with rules and, in their absence, principles for the responsible management of sensitive data. Case studies.",Data privacy laws and expectations. Freedom of information. Ethics board. Licensing. Data security.,1
University of British Columbia Okanagan,Predictive Modelling,"Introduction to regression for Data Science, including: simple linear regression, multiple linear regression, interactions, mixed variable types, model assessment, simple variable selection, k-nearest-neighbours regression.","Introduction to regression for Data Science. Simple linear regression, multiple linear regression, interactions, mixed variable types, model assessment, simple variable selection, k-nearest-neighbours regression",1
University of British Columbia Okanagan,Collaborative Software Development,"How to exploit practices from collaborative software development techniques in data scientific workflows. Appropriate use of abstraction and classes, the software life cycle, unit testing / continuous integration, quality control, version control, and packaging for use by others.",Software life cycle. Licensing. Packaging. Testing and quality control. Version control. Collaborative environments.,1
University of British Columbia Okanagan,Data Wrangling,"Converting data from the form in which it is collected to the form needed for analysis. How to clean, filter, arrange, aggregate, and transform diverse data types, e.g. strings, numbers, and date-times.","Manipulation of data using software tools. Data conversion, filtering, sorting, grouping, cleaning, parsing. Automation.",1
University of British Columbia Okanagan,Data Collection,"Fundamental techniques in the collection of data. Focus will be devoted to understanding the effects of randomization, restrictions on randomization, repeated measures, and blocking on the model fitting.","Fundamental techniques in the collection of data. Focus will be devoted to understanding the effects of randomization, restrictions on randomization, repeated measures and blocking on the model fitting",1
University of British Columbia Okanagan,Resampling and Regularization,"Resampling techniques and regularization for linear models, including Bootstrap, jackknife, cross-validation, ridge regression, and lasso.","Resampling techniques and regularization for linear models. Bootstrap, jackknife, cross-validation, ridge regression, lasso, discussion of tuning parameters.",1
University of British Columbia Okanagan,Web and Cloud Computing,"How to use the web as a platform for data collection, computation, and publishing. Accessing data via scraping and APIs. Using the cloud for tasks that are beyond the capability of your local computing resources.","Resampling techniques and regularization for linear models. Bootstrap, jackknife, cross-validation, ridge regression, lasso, discussion of tuning parameters. Credit will be granted for only one of DATA 311 or DATA 571. Restricted to students in the MDS program.",1
University of British Columbia Okanagan,Data Visualization I,Data visualization to produce effective graphs and images. Use of open source libraries in Python and R and commercial products such as Tableau.,Data visualization to produce graphs and images. Advanced data analysis on spreadsheets.,1
University of British Columbia Okanagan,Supervised Learning,"Introduction to supervised machine learning. Key concepts include: logistic regression, k-nearest-neighbours classification, discriminant analysis, decision trees and random forests.","Analysis of data with categorical responses. Logistic regression, k-nearest-neighbours classification, discriminant analysis, decision trees and random forests",1
University of British Columbia Okanagan,Modelling and Simulation II,"Markov chains and their applications, for example, queueing and Markov Chain Monte Carlo.","Markov chains and their applications, for example, queueing and Markov Chain Monte Carlo.",1
University of British Columbia Okanagan,Data Visualization II,"Advanced concepts in data visualization, using business intelligence and data analysis software. Key concepts include interactive visualization and production of visualizations for mobile and web.",Data visualization using business intelligence and data analysis software. Interactive visualization. Production of visualizations for mobile and web.,1
University of British Columbia Okanagan,Communication and Argumentation,"How to present and interpret data science findings. Drawing on the scholarship of language and cognition, this course is about how effective data scientists write, speak, and think.","Interpretation of data. Argumentation: hypothesis, claim, evidence and inference. Model limitations: bias, validity, reliability, sensitive analysis. Communication of recommendations to decision-makers.",1
University of British Columbia Okanagan,Unsupervised and Semi-supervised Learning,"How to analyse data with unknown responses. Distance measures, hierarchical clustering, k-means, mixture models.","Analyses for data with unknown responses. Distance measures, hierarchical clustering, k-means, mixture models.",1
University of British Columbia Okanagan,Advanced Predictive Modelling,"Advanced study in predictive modelling techniques and concepts, including multiple linear regressions, splines, smoothing, and generalized additive models.",Splines. Smoothing. Generalized linear models. Generalized additive models. An introduction to mixed models.,1
University of British Columbia Okanagan,Bayesian Inference,"Introduction to Bayesian paradigm and tools for Data Science. Topics include Bayes theorem, prior, likelihood and posterior. A detailed analysis of the cases of binomial, normal samples, normal linear regression models. A significant focus will be on computational aspects of Bayesian problems using software packages.","Introduction to Bayesian paradigm and tools for Data Science. Topics include Bayes theorem, prior, likelihood and posterior. A detailed analysis of the cases of binomial, normal samples, normal linear regression models. A significant focus will be on computational aspects of Bayesian problems using software packages.",1
University of British Columbia Okanagan,Optimization,Modeling using mathematical programming. Key concepts include fundamental continuous and discrete optimization algorithms; optimization software for small to medium scale problems; and optimization algorithms for data science.,Modelling using mathematical programming. Fundamental continuous and discrete optimization algorithms. Optimization software for small to medium scale problems. Optimization algorithms for data science.,1
University of British Columbia Okanagan,Advanced Machine Learning,"Advanced machine learning methods and concepts, including neural networks, backpropagation, and deep learning.","Neural networks, backpropagation, deep learning.",1
University of British Columbia Okanagan,Special Topic,Advanced or specialized topic in Data Science with applications to specific data sets. Analysis of Big Data using Hadoop and Spark.,Advanced or specialized topic in Data Science with applications to specific data sets.,1
University of British Columbia Okanagan,Capstone Project,"A mentored group project based on real data and questions from a partner within or outside the university. Students will formulate questions and design and execute a suitable analysis plan. The group will work collaboratively to produce a reproducible analysis pipeline, project report, presentation and possibly other products, such as a dashboard.",A capstone design project designed to give students experience in performing data science on a complex multi-disciplinary project.,6
University of Waterloo,Explorative Data Analysis,This course introduces Data Science students to exploratory data analysis with a focus on the concepts and tools necessary for understanding and successfully undertaking an end to end exploratory analysis of large and complex data.,"Populations, Significance Testing, Empirical Problem Solving, Data Analysis Environment,R Data Structures,R Data Visualization, Loon, Clustering Methods, ggplot, Scagnostics,Dimension Reduction, Data Manipulation in R",0
University of Waterloo,Data Intensive Distributed Analytics,"Introduces non-CS major students to infrastructure for data-sensitive analytics, with a focus on abstractions, frameworks, and algorithms that allow developers to distribute computations across many machines.","his course provides an introduction to data-intensive distributed computing. Our focus is algorithm design and ""thinking at scale"": we will cover data mining and machine learning techniques as applied to text, graphs, and relational data. Most of the course will be taught in a combination of MapReduce and Spark, two representative dataflow abstractions for large-scale data analysis, although we will introduce alternative abstractions such as bulk-synchronous parallel and streaming models as well.",0
University of Waterloo,Statistical Learning Classification,"Classification, also known as pattern recognition is the problem of predicting a discrete random variable Y from another random variable X. The random variable X may take many different forms from Digital image libraries and text corpora to gene expression microarrays and financial time series.","Feature selection Feature extraction (PCA, LLE, Isomap, Supervised dimensionality reduction) Error rates and the Bayes classifier Gaussian and linear classifier Linear regression and logistic regression Neural networks Radial basis function networks Naive Bayes Trees Assessing error rates and model selection Support vector machines Kernel methods k-nearest neighbors Bagging Boosting Semi-supervised learning for classification Metric learning for classification",0
University of Waterloo,Data Visualization,"The difficulty of extracting information from high dimensional data is the main motivation for renewed interest in the problems of dimensionality reduction, feature extraction and clustering. High dimensional data take many diferent forms: from Digital image libraries to gene expression microarrays and financial time series. Researchers in fields as diverse as finance, physics, medicine, and bioinformatics have to deal with such large data sets. By formulating the problem of dimensionality reduction and clustering in a general setting, however, many different types of data can be analyzed in the same underlying mathematical framework. This course will explore this general framework and introduce several methods for dimensionality reduction, feature selection, and clustering.","Dimensionality Reduction Linear Methods Principal Components Analysis (PCA), Dual PCA Metric Multidimensional Scaling (MDS) Landmark MDS (Nystrom Approximation) Non-negative Matrix Factorization Supervised Principal Components Analysis Nonlinear Methods Kernel Principal Components AnalysisKernel Supervised Principal Components Analysis Locally Linear Embedding, ISOMAP, Laplacian Eigenmaps Stochastic Neighbor Embedding (SNE, t-SNE) Maximum Variance Unfolding (MVU) Colored MVU ( Hilbert-Schmidt independence criterion (HSIC)) Distance Metric LearningUnified Framework for Dimensionality reduction Clustering Vector Quantization K-means K-medoids Probabilistic Clustering Spectral Clustering Hierarchical Clustering Affinity Propagation Cluster validation Applications Graph Realization and Sensor Networks Graph Partitioning (Clustering, Classification) Microarray Clustering, Text mining (Biclustering, Co-clustering) Image Processing(Denoising, Image Segmentation) Collaborative filtering",0
University of Waterloo,Statistical Learning - Function Estimation,"Methods for finding surfaces in high dimensions from incomplete or noisy functional information. Both data adaptive and methods based on fixed parametric structure will be treated. Model assessment, training and tuning.","Methods for finding surfaces in high dimensions from incomplete or noisy functional information. Both data adaptive and methods based on fixed parametric structure will be treated. Model assessment, training and tuning.",0
University of Waterloo,Principles of Data Management and Use,"A user-oriented approach to the management of large collections of data. Relational database technology, relational algebra, SQL, database views, transactions, data modelling methodology, entity-relationship models. Introduction to several current topics in database research, such as warehousing, data mining, managing data streams, data cleaning, data integration, and distributed/parallel databases. Master of Health Informatics students only.",Introduction to database systems Relational data model SQL language Formal languages Entity-Relationship (ER) model Extended ER model Mapping ER models to relational Design theory: normalization Transactions Database internals – quick look Big data processing Distributed/Parallel databases NoSQL systems,0
University of Waterloo,Database Systems and Implementation,"The objective of this course is to introduce students to fundamentals of building a relational database management system. The course focuses on the database engine core technology by studying topics such as storage management (data layout, disk-based data structures), indexing, query processing algorithms, query optimization, transactional concurrency control, logging and recovery. Preference will be given to CS graduate students. All other require permission from the school.",DBMS Architecture Data Storage Access Methods Query Processing Query Optimization Spatial Indexing (guest lecture) Concurrency and FailuresDistributed Data Management,0
University of Waterloo,Introduction to Machine Learning,"Introduction to modeling and algorithmic techniques for machines to learn concepts from data. Generalization: underfitting, overfitting, cross-validation. Tasks: classification, regression, clustering. Optimization-based learning: loss minimization, regularization. Statistical learning: maximum likelihood, Bayesian learning. Algorithms: nearest neighbor, (generalized) linear regression, mixtures of Gaussians, Gaussian processes, kernel methods, support vector machines, deep learning, sequence learning, ensemble techniques. Large scale learning: distributed learning and stream learning. Applications: Natural language processing, computer vision, data mining, human computer interaction, information retrieval.","Introduction PerceptronLinear Regression Logistic Regression Support Vector Machines • Reproducing Kernels Multi-layer Perceptron Deep Neural Networks Convolutional Neural Networks • Recurrent Neural Networks Graph Neural Networks K-nearest Neighbours Decision Trees Bagging, Boosting and Random Forest • Mixture of Gaussians Generative Adversarial Networks Flow Models Variational Autoencoders Optimal Transport Contrastive Learning Adversarial Machine Learning Privacy Abstention Causality Explainable Machine Learning",0
University of Waterloo,Machine Learning: Statistical and Computational Foundations,"Extracting meaningful patterns from random samples of large data sets. Statistical analysis of the resulting problems. Common algorithm paradigms for such tasks. Central concepts: VC-dimension, Margins of classifier, Sparsity and description length. Performance guarantees: Generalization bounds, data dependent error bounds and computational complexity of learning algorithms. Common paradigms: Neural networks, Kernel methods and Support Vector machines, Applications to Data Mining.",Introduction to Machine Learning Theoretical Foundation Classification Regression Clustering Big data (stream learning and distributed learning) Specific models/algorithms Decision trees Nearest neighbors K means clustering Linear/nonlinear separators and regression Mixtures of Gaussians Logistic regression Kernel methods Support vector Machines Hidden Markov models Perceptrons Neural networks Deep learning Recurrent neural networks,0
University of Waterloo,Fundamentals of Optimization,"This course serves as a graduate level introduction to optimization, with particular emphasis on convex optimization, linear optimization, and combinatorial optimization.","Linear optimization: Farkas' Lemma, duality, Simplex method, geometry of polyhedra. Combinatorial optimization: integrality of polyhedra, total unimodularity, flow problems, weighted bipartite matching. Continuous optimization: convex sets, Separation Theorem, convex functions, analytic characterizations of convexity, Karush-Kuhn-Tucker Theorem.",0
University of Waterloo,Optimization for Data Science,"The course will cover optimization techniques used especially for machine learning and data science. Because these fields typically give rise to very large instances, first-order optimization (gradient-based) methods are typically preferred.",Convex sets and functions Gradient descent Projection and alternating projection Convex relaxationOverfitting and regularization Subgradient methods Proximal gradient Nesterov’s methods Conditional gradient (Frank-Wolfe) methods • Coordinate descent Augmented Lagrangian methods ADMM Stochastic gradient methods the EM algorithm,0
University of Waterloo,Combinatorial Optimization,"Characterizations of optimalsolutions and efficient algorithms for optimization problems over discrete structures. Topics include network flows, optimal matchings, T-joins and postman tours, matroid optimization.",Spanning trees Maximum flows and minimum cuts Matchings and generalizations Matroids and matroid-optimization problems • Applications to approximation algorithms,0
University of Waterloo,Convex Optimization and Analysis,"An introduction to the modern theory of convex programming, its extensions and applications. Structure of convex sets, separation and support, subgradient calculus for convex functions, Fenchel conjugacy and duality, Lagrange multipliers. Ellipsoid method for convex optimization.","Introduction, Convex sets convex hulls Extreme points and projections SeparationTangent and normal cones Convex functions Differentiable convex functions Sublinear functions and norms Subdifferentials and set-valued functions Conjugation KKT conditions for convex optimization Numerical methods for convex optimization Semidefinite programming",0
University of Waterloo,Distributed Systems,"An introduction to distributed systems, emphasizing the multiple levels of software in such systems. Specific topics include fundamentals of data communications, network architecture and protocols, local-area networks, concurrency control in distributed systems, recovery in distributed systems, and clock synchronization. Preference will be given to CS graduate students. All others require approval from the department.",Fundamental Architectures and Models of Distributed Systems Brief Overview of Computer Networks Distributed Objects and Remote Invocation Distributed Naming Distributed File Systems Synchronization Data Replication Fault Tolerance Security,0
University of Waterloo,Introduction to Artificial Intelligence,Goals and methods of artificial intelligence. Methods of general problem solving. Introduction to mathematical logic Mechanical theorem proving. Game playing. Natural language processing.,"Introduction Intelligent Agents, Intro to Search Uninformed Search and Heuristic Search Heuristic Search and Constraint Satisfaction Problems Local Search Intro to Learning, Decision Trees Extending Decision Trees, Intro to Neural Networks Neural Networks The back-propagation algorithm, Probabilities and Independence Probabilities and Independence Introduction to Bayesian Networks Variable Elimination Algorithm Hidden Markov Models Statistical Learning Learning a Naive Bayes Model - The EM Algorithm Decision Networks Markov Decision Process The Value Iteration Algorithm Game Theory",0
University of Waterloo,Database Engineering,Project-oriented course that covers the implementation of relational database management systems. Topics include database system architecture; managing primary and secondary storage; query processing; metadata and catalog management; language processing; query optimization and plan generation; concurrency; failures and recovery; extensibility; client-server interactions.,Introduction Managing Primary and Secondary Storage Query Processing Metadata and Catalog Management Language Processing Query Optimization and Plan Generation Concurrency Failures and Recovery Extensibility Client-Server Interactions Current Events,0
University of Waterloo,Parallel and Distributed Database Systems,"Algorithms and architectures used in parallel database management systems, with a focus on relational systems. Topics include system architectures; parallel and distributed query processing; federated dtabase systems; distributed transactions; data replication.",Introduction and distribution architectures Distribution design Distributed query processing and optimization Distributed concurrency control Distributed reliability protocols Data replication Parallel data management Data integration Streaming data management Web data management MapReduce-based distributed data management,0
University of Waterloo,Principles of Data Base Management and Use,"An overview of relational databases and how they are used; exposure to relational database technology. Fundamentals of transactions. Database views. Introductions to two or three alternative data models and systems, such as those used for structured text, spatial data, multimedia data, and information retrieval. Introduction to several current topics in database research, such as warehousing, data mining, managing data streams, data cleaning, data integration, and distributed databases.","Relational Database Systems, Relational Model SQL ER Model and Database Design Normalization Transactions Query Processing Linked Data Warehousing and Analytics Streaming Data Analytics Data Quality NoSQL and Analytics Graph Databases NoSQL Miscellaneous",0
University of Waterloo,Probabilistic Inference and Machine Learning,"This course will cover the fundamental principles of probabilistic inference and computational learning systems. It will introduce the basic methods used in reasoning under uncertainty, computational probability and statistics in large-scale systems, machine learning, neural networks, pattern recognition, and graphical probability modelling. These techniques are now widely applied in scientific data analysis, data mining, trainable recognition/interpretation systems, computer vision algorithms, signal processing algorithms, adaptive resource allocators, adaptive controllers, and software for automated diagnosis. The emphasis will be on understanding the fundamental principles that permit effective probabilistic inference and learning in systems, realizing their inherent theoretical limitations, and exploring the latest advanced techniques.",Introduction Probabilistic Inference Learning with Complete Data Graphical models Learning with incomplete data Theory,0
University of Waterloo,Computational Inference,"Introduction to and application of computational methods in statistical inference. Monte Carlo evaluation of statistical procedures, exploration of the likelihood function through graphical and optimization techniques including EM. Bootstrapping, Markov Chain Monte Carlo, and other computationally intensive methods.","Basics on graphical models Markov properties Joint distributions, random variables Graphical model representations Directed and undirected models Factor graphs Basic inference algorithm Independence properties Efficient tree-based inference Multivariate Gaussian Naive Bayes Mixtures, Hierarchies Hidden Markov models Kalman filters Types of estimation Maximum likelihood Maximum conditional likelihood Bayesian estimation The EM algorithm Estimating hidden Markov models Sampling Importance sampling Markov Chain Monte Carlo Variational algorithms",0
Carleton University,Introduction to Data Science,"The course covers topics relevant to data science: working with data, exploratory data analysis, data mining, machine learning. The concepts are illustrated using the R language. Students also receive hands-on tutorials to IBM Cognos Analytics, Tableau, etc. Students will be evaluated by their course projects. The course will be lecture-based and will also offer some hands-on tutorials. The project component will be flexible and will involve data collection, manipulation, and analysis.",What is Data Science Working with Data. Visualization and Exploration. Data Mining and Machine Learning IBM Watson Studio IBM Cognos Analytics Tutorial. Tableau Tutorial.,0.5
Carleton University,Critical Data Studies,"Theoretical debates, research approaches and discursive regimes pertaining to the datafication of everyday life, data and living environments, and the quantified control of the future. Emphasis on the production of databased knowledge and the influence data have on the material and social world.","Introduction – Data Stories and Conceptualizing data  Assemblages, Dashboards & Control Rooms Paramedic Communication Centre Field Trip Facts & Data Indicators & Categorization Administrative and Survey Data Standards Mapping Big Data Probability & Risk Data Infrastructure Assemblages, Genealogies and Dynamic Nominalism",0.5
Carleton University,"Internet, Infrastructure, Materialities",Viewing the Internet as Infrastructure ,"The internet as infrastructure; how the technical characteristics of the internet influence our experience and use of this medium. Questions addressing the physical structures, power and control, and ecological impacts of the internet are also considered.",0.5
Carleton University,Time Series Econometrics,"Analysis of the concepts and tools used in time-series econometrics with particular focus on empirical applicability. Topics may include cointegration analysis, error-correction models, VAR models, volatility analysis, and non-linear time-series models, together with relevant economic applications.",Univariate Time Series Models Building Univariate Time Series Models Multivariate Time Series ARCH Models,0.5
