Coursera,Course Name,Company,Course Description,Topics,Skills
,Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,Codio,"This specialization is intended for people without programming experience who seek an approachable introduction to data science that uses Python and R to describe and visualize data sets. This course will equip learners with foundational knowledge of data analysis suitable for any analyst roles. In these four courses, you will cover everything from data wrangling to data visualization. These topics will help prepare you to handle various types of data sets, giving you enough knowledge of data science to proficiently compare data sets, describe their relationship, and produce visualizations that highlight that relationship.","Describe a numerical data set with statistics

Import and describe a mixed data set using pandas and matplotlib

Determine if populations are different using statistical tests

Describe relationships between variables using statistical tests","Python Programming
R Programming
Data Analysis
Data Visualization (DataViz)
Rstudio
Functions
Variables
Basic Descriptive Statistics
Data Science
Visual Communication
Histogram
Bar Chart"
,Applied Text Mining in Python,University of Michigan,"This course will introduce the learner to text mining and text manipulation basics. The course begins with an understanding of how text is handled by python, the structure of text both to the machine and to humans, and an overview of the nltk framework for manipulating text. The second week focuses on common manipulation needs, including regular expressions (searching for text), cleaning text, and preparing text for use by machine learning processes. The third week will apply basic natural language processing methods to text, and demonstrate how text classification is accomplished. The final week will explore more advanced methods for detecting the topics in documents and grouping them by similarity (topic modelling). 

This course should be taken after: Introduction to Data Science in Python, Applied Plotting, Charting & Data Representation in Python, and Applied Machine Learning in Python.","Understand how text is handled in Python

Apply basic natural language processing methods

Write code that groups documents by topic

Describe the nltk framework for manipulating text","Natural Language Toolkit (NLTK)
Text Mining
Python Programming
Natural Language Processing"
,Data Science Fundamentals for Data Analysts,Databricks,"In this course we're going to guide you through the fundamental building blocks of data science, one of the fastest-growing fields in the world! 

With the help of our industry-leading data scientists, we’ve designed this course to build ready-to-apply data science skills in just 15 hours of learning. First, we’ll give you a quick introduction to data science - what it is and how it is used to solve real-world problems. For the rest of the course, we'll teach you the skills you need to apply foundational data science concepts and techniques to solve these real-world problems. 

By the end of this course, you'll be able to leverage your existing data analysis skills to design, execute, assess, and communicate the results of your very own data science projects.","Apply foundational data science concepts and techniques to solve these real-world problems. 

Design, execute, assess, and communicate the results of your very own data science projects.","Data Science
Data Analysis
Machine Learning"
,Python Project for Data Science,IBM,"This mini-course is intended to for you to demonstrate foundational Python skills for working with data. The completion of this course involves working on a hands-on project where you will develop a simple dashboard using Python.

This course is part of the IBM Data Science Professional Certificate and the IBM Data Analytics Professional Certificate.

PRE-REQUISITE: **Python for Data Science, AI and Development** course from IBM is a pre-requisite for this project course. Please ensure that before taking this course you have either completed the Python for Data Science, AI and Development course from IBM or have equivalent proficiency in working with Python and data.

NOTE: This course is not intended to teach you Python and does not have too much instructional content. It is intended for you to apply prior Python knowledge.","Demonstrate your Skills in Python - the language of choice for Data Science and Data Analysis

Apply Python fundamentals, Python data structures, and working with data in Python

Play the role of a Data Scientist / Data Anlayst working on a real project

Build a dashboard using Python and popular Python libraries using Jupyter notebook","Data Science
Python Programming
Ipython
Data Analysis
Pandas"
,Spatial Data Science and Applications,Yonsei University,"Spatial (map) is considered as a core infrastructure of modern IT world, which is substantiated by business transactions of major IT companies such as Apple, Google, Microsoft, Amazon, Intel, and Uber, and even motor companies such as Audi, BMW, and Mercedes. Consequently, they are bound to hire more and more spatial data scientists.  Based on such business trend, this course is designed to present a firm understanding of spatial data science to the learners, who would have a basic knowledge of data science and data analysis, and eventually to make their expertise differentiated from other nominal data scientists and data analysts.  Additionally, this course could make learners realize the value of spatial big data and the power of open source software's to deal with spatial data science problems.

This course will start with defining spatial data science and answering why spatial is special from three different perspectives - business, technology, and data in the first week.  In the second week, four disciplines related to spatial data science - GIS, DBMS, Data Analytics, and Big Data Systems, and the related open source software's - QGIS, PostgreSQL, PostGIS, R, and Hadoop tools are introduced together.  During the third, fourth, and fifth weeks, you will learn the four disciplines one by one from the principle to applications.  In the final week, five real world problems and the corresponding solutions are presented with step-by-step procedures in environment of open source software's.","Spatial (map) is considered as a core infrastructure of modern IT world, which is substantiated by business transactions of major IT companies such as Apple, Google, Microsoft, Amazon, Intel, and Uber, and even motor companies such as Audi, BMW, and Mercedes. Consequently, they are bound to hire more and more spatial data scientists.  Based on such business trend, this course is designed to present a firm understanding of spatial data science to the learners, who would have a basic knowledge of data science and data analysis, and eventually to make their expertise differentiated from other nominal data scientists and data analysts.  Additionally, this course could make learners realize the value of spatial big data and the power of open source software's to deal with spatial data science problems.

This course will start with defining spatial data science and answering why spatial is special from three different perspectives - business, technology, and data in the first week.  In the second week, four disciplines related to spatial data science - GIS, DBMS, Data Analytics, and Big Data Systems, and the related open source software's - QGIS, PostgreSQL, PostGIS, R, and Hadoop tools are introduced together.  During the third, fourth, and fifth weeks, you will learn the four disciplines one by one from the principle to applications.  In the final week, five real world problems and the corresponding solutions are presented with step-by-step procedures in environment of open source software's.","Spatial Analysis
Qgis
Big Data
Geographic Information System (GIS)"
,Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs Specialization,Google Cloud Training  ,"In this Google Cloud Labs Specialization, you'll receive hands-on experience building and practicing skills in BigQuery and Cloud Data Fusion. You will start learning the basics of BigQuery, building and optimizing warehouses, and then get hands-on practice on the more advanced data integration features available in Cloud Data Fusion. 

Learning will take place leveraging Google Cloud's Qwiklab platform where you will have the virtual environment and resources need to complete each lab.

This specialization is broken up into 4 courses comprised of a series of courses:

BigQuery Basics for Data Analysts
Building Advanced Codeless Pipelines on Cloud Data Fusion
Data Science on Google Cloud 
Data Science on Google Cloud: Machine Learning
You will even be able to earn a Skills Badge in one of these lab-based courses. 

Applied Learning Project
This specialization leverages hands-on labs using our Qwiklabs platform. You can expect to gain practical hands-on experience with the concepts explained throughout each lab.

Learners will be able to practice:

Creating dataset partitions that will reduce cost and improve query performance. 
Using macros in Data Fusion that introduce dynamic variables to plugin configurations so that you can specify the variable substitutions at runtime.
Building a reusable pipeline that reads data from Cloud Storage, performs data quality checks, and writes to Cloud Storage.
Using Google Cloud Machine Learning and TensorFlow to develop and evaluate prediction models using machine learning.
Implementing logistic regression using a machine learning library for Apache Spark running on a Google Cloud Dataproc cluster to develop a model for data from a multivariable dataset.
And much more!","and practice all aspects of ingestion, preparation, processing, querying, exploring and visualizing data sets using Google Cloud tools.","Bigquery
Data Analysis
data
SQL
Data Management
Data Pipelines
Cloud Data Fusion
Data ingestion
Data Processing
Data Visualization (DataViz)
Tensorflow
Machine Learning"
,Survey Data Collection and Analytics Specialization,Univeristy of Michigan,"This specialization covers the fundamentals of surveys as used in market research, evaluation research, social science and political research, official government statistics, and many other topic domains. In six courses, you will learn the basics of questionnaire design, data collection methods, sampling design, dealing with missing values, making estimates, combining data from different sources, and the analysis of survey data. In the final Capstone Project, you’ll apply the skills learned throughout the specialization by analyzing and comparing multiple data sources.

Faculty for this specialisation comes from the Michigan Program in Survey Methodology and the Joint Program in Survey Methodology, a collaboration between the University of Maryland, the University of Michigan, and the data collection firm Westat, founded by the National Science Foundation and the Interagency Consortium of Statistical Policy in the U.S.  to educate the next generation of survey researchers, survey statisticians, and survey methodologists. In addition to this specialization we offer short courses, a summer school, certificates, master degrees as well as PhD programs. ",,"Data Collection
Cluster Sampling
R Programming
Missing Data
Data Quality
Data Analysis
Data Generating Process"
,Text Mining and Analytics,Illinois,"This course will cover the major techniques for mining and analyzing text data to discover interesting patterns, extract useful knowledge, and support decision making, with an emphasis on statistical approaches that can be generally applied to arbitrary text data in any natural language with no or minimum human effort. 

Detailed analysis of text data requires understanding of natural language text, which is known to be a difficult task for computers. However, a number of statistical approaches have been shown to work well for the ""shallow"" but robust analysis of text data for pattern finding and knowledge discovery. You will learn the basic concepts, principles, and major algorithms in text mining and their potential applications.",,"Data Clustering Algorithms
Text Mining
Probabilistic Models
Sentiment Analysis"
,Predictive Modeling and Analytics,University of Colorado Boulder,"Welcome to the second course in the Data Analytics for Business specialization! 

This course will introduce you to some of the most widely used predictive modeling techniques and their core principles. By taking this course, you will form a solid foundation of predictive analytics, which refers to tools and techniques for building statistical or machine learning models to make predictions based on data. You will learn how to carry out exploratory data analysis to gain insights and prepare data for predictive modeling, an essential skill valued in the business. 

You’ll also learn how to summarize and visualize datasets using plots so that you can present your results in a compelling and meaningful way. We will use a practical predictive modeling software, XLMiner, which is a popular Excel plug-in. This course is designed for anyone who is interested in using data to gain insights and make better business decisions. The techniques discussed are applied in all functional areas within business organizations including accounting, finance, human resource management, marketing, operations, and strategic planning. 

The expected prerequisites for this course include a prior working knowledge of Excel, introductory level algebra, and basic statistics.",,"Regression Analysis
Data Cleansing
Predictive Modelling
Exploratory Data Analysis"
,"Intro to Analytic Thinking, Data Science, and Data Mining",University of California,"Welcome to Introduction to Analytic Thinking, Data Science, and Data Mining. In this course, we will begin with an exploration of the field and profession of data science with a focus on the skills and ethical considerations required when working with data. We will review the types of business problems data science can solve and discuss the application of the CRISP-DM process to data mining efforts. A brief overview of Descriptive, Predictive, and Prescriptive Analytics will be provided, and we will conclude the course with an exploratory activity to learn more about the tools and resources you might find in a data science toolkit.","The knowledge and skills needed to work in the data science profession

How data science is used to solve business problems

The benefits of using the cross-industry standard process for data mining (CRISP-DM)","Environmental Data Analysis
Data Documentation
Geophysical Data
Data Mining"
,Practical Predictive Analytics: Models and Methods,University of Washington,"Statistical experiment design and analytics are at the heart of data science.  In this course you will design statistical experiments and analyze the results using modern methods.  You will also explore the common pitfalls in interpreting statistical arguments, especially those associated with big data.  Collectively, this course will help you internalize a core set of practical and effective machine learning methods and concepts, and apply them to solve some real world problems.","Learning Goals: After completing this course, you will be able to:
1. Design effective experiments and analyze the results
2. Use resampling methods to make clear and bulletproof statistical arguments without invoking esoteric notation
3. Explain and apply a core set of classification methods of increasing complexity (rules, trees, random forests), and associated optimization methods (gradient descent and variants)
4. Explain and apply a set of unsupervised learning concepts and methods
5. Describe the common idioms of large-scale graph analytics, including structural query, traversals and recursive queries, PageRank, and community detection","Random Forest
Predictive Analytics
Machine Learning
R Programming"
,Data Science Fundamentals with Python and SQL Specialization,IBM,"Data Science is one of the hottest professions of the decade, and the demand for data scientists who can analyze data and communicate results to inform data driven decisions has never been greater. This Specialization from IBM will help anyone interested in pursuing a career in data science by teaching them fundamental skills to get started in this in-demand field.

The specialization consists of 5 self-paced online courses that will provide you with the foundational skills required for Data Science, including open source tools and libraries, Python, Statistical Analysis, SQL, and relational databases. You’ll learn these data science pre-requisites through hands-on practice using real data science tools and real-world data sets.

Upon successfully completing these courses, you will have the practical knowledge and experience to delve deeper in Data Science and work on more advanced Data Science projects. 


No prior knowledge of computer science or programming languages required. ","Working knowledge of Data Science Tools such as Jupyter Notebooks, R Studio, GitHub, Watson Studio

Python programming basics including data structures, logic, working with files, invoking APIs, and libraries such as Pandas and Numpy

Statistical Analysis techniques including  Descriptive Statistics, Data Visualization, Probability Distribution, Hypothesis Testing and Regression

Relational Database fundamentals including SQL query language, Select statements, sorting & filtering, database functions, accessing multiple tables","Data Science
Github
Python Programming
Jupyter notebooks
Rstudio
Data Analysis
Pandas
Numpy
Ipython
Probability And Statistics
Regression Analysis
Data Visualization (DataViz)"
,Accounting Data Analytics Specialization,Illinois,"This specialization develops learners’ analytics mindset and knowledge of data analytics tools and techniques. Specifically, this specialization develops learners' analytics skills by first introducing an analytic mindset, data preparation, visualization, and analysis using Excel. Next, this specialization develops learners' skills of using Python for data preparation, data visualization, data analysis, and data interpretation and the ability to apply these skills to issues relevant to accounting. This specialization also develops learners’ skills in machine learning algorithms (using Python), including classification, regression, clustering, text analysis, time series analysis, and model optimization, as well as their ability to apply these machine learning skills to real-world problems.","Know how to operate software that will help you create and run Python code.

Execute Python code for wrangling data from different structures into a Pandas dataframe structure.

Run and interpret fundamental data analytic tasks in Python including descriptive statistics, data visualizations, and regression.

Use relational databases and know how to manipulate such databases directly through the command line, and indirectly through a Python script.","Machine Learning
Python Programming
Data Visualization (DataViz)
Data Preparation
Exploratory Data Analysis
Data Analysis
Predictive Analytics
Data Architecture
coding
Linear Regression
SQL
Text Analysis"
,A Crash Course in Data Science,John Hopkins University,"By now you have definitely heard about data science and big data. In this one-week class, we will provide a crash course in what these terms mean and how they play a role in successful organizations. This class is for anyone who wants to learn what all the data science action is about, including those who will eventually need to manage data scientists. The goal is to get you up to speed as quickly as possible on data science without all the fluff. We've designed this course to be as convenient as possible without sacrificing any of the essentials.

This is a focused course designed to rapidly get you up to speed on the field of data science. Our goal was to make this as convenient as possible for you without sacrificing any essential content. We've left the technical information aside so that you can focus on managing your team and moving it forward.","1. How to describe the role data science plays in various contexts
2. How statistics, machine learning, and software engineering play a role in data science
3. How to describe the structure of a data science project
4. Know the key terms and tools used by data scientists
5. How to identify a successful and an unsuccessful data science project
3. The role of a data science manager","Data Science
Data Analysis
Machine Learning
Project"
,Vital Skills for Data Science Specialization,University of Colorado Boulder,"Vital Skills for Data Science introduces students to several areas that every data scientist should be familiar with.  Each of the topics is a field in itself.  This specialization provides a ""taste"" of each of these areas which will allow the student to determine if any of these areas is something they want to explore further. In this specialization, students will learn about different applications of data science and how to apply the steps in a data science process to real life data.  They will be introduced to the ethical questions every data scientist should be aware of when doing an analysis.  The field of cybersecurity makes the data scientist aware of how to protect their data from loss.

This specialization can be taken for academic credit as part of CU Boulder’s Master of Science in Data Science (MS-DS) degree offered on the Coursera platform. The MS-DS is an interdisciplinary degree that brings together faculty from CU Boulder’s departments of Applied Mathematics, Computer Science, Information Science, and others. With performance-based admissions and no application process, the MS-DS is ideal for individuals with a broad range of undergraduate education and/or professional experience in computer science, information science, mathematics, and statistics. Learn more about the MS-DS program at https://www.coursera.org/degrees/master-of-science-data-science-boulder. ","Identify applications of Data Science.

Identify the steps of the Data Science process and apply them with real world data.

Discuss privacy concerns.

By taking this course, you will be able explain what data science is and identify the key disciplines involved.​","Information Privacy
Cybersecurity
analysis
Ethics
Data Science
Applied Mathematics
Information Science
Statistics
Computer Science
Algorithms
Privacy
Philosophy"
,Introduction to Portfolio Construction and Analysis with Python,EDHEC,"The practice of investment management has been transformed in recent years by computational methods. This course provides an introduction to the underlying science, with the aim of giving you a thorough understanding of that scientific basis. However, instead of merely explaining the science, we help you build on that foundation in a practical manner, with an emphasis on the hands-on implementation of those ideas in the Python programming language. 

This course is the first in a four course specialization in Data Science and Machine Learning in Asset Management but can be taken independently. In this course, we cover the basics of Investment Science, and we'll build practical implementations of each of the concepts along the way. We'll start with the very basics of risk and return and quickly progress to cover a range of topics including several Nobel Prize winning concepts. We'll cover some of the most popular practical techniques in modern, state of the art investment management and portfolio construction. 

As we cover the theory and math in lecture videos, we'll also implement the concepts in Python, and you'll be able to code along with us so that you have a deep and practical understanding of how those methods work. By the time you are done, not only will you have a foundational understanding of modern computational methods in investment management, you'll have practical mastery in the implementation of those methods.","Gain an intuitive understanding for the underlying theory behind Modern Portfolio Construction Techniques  

Write custom  Python code to estimate risk and return parameters  

Utilize powerful Python optimization libraries to build scientifically and systematically diversified portfolios  

Build custom utilities in Python to test and compare portfolio strategies  ",
,Python and Machine-Learning for Asset Management with Alternative Data Sets,EDHEC,"Over-utilization of market and accounting data over the last few decades has led to portfolio crowding, mediocre performance and systemic risks, incentivizing financial institutions which are looking for an edge to quickly adopt alternative data as a substitute to traditional data. This course introduces the core concepts around alternative data, the most recent research in this area, as well as practical portfolio examples and actual applications. The approach of this course is somewhat unique because while the theory covered is still a main component, practical lab sessions and examples of working with alternative datasets are also key. This course is fo you if you are aiming at carreers prospects as a data scientist in financial markets, are looking to enhance your analytics skillsets to the financial markets, or if you are interested in cutting-edge technology and research as  they apply to big data. The required background is: Python programming, Investment theory , and Statistics. This course will enable you to learn new data and research techniques applied to the financial markets while strengthening data science and python skills.","Learn what alternative data is and how it is used in financial market applications. 

Become immersed in current academic and practitioner state-of-the-art research pertaining to alternative data applications.

Perform data analysis of real-world alternative datasets using Python.

Gain an understanding and hands-on experience in data analytics, visualization and quantitative modeling applied to alternative data in finance","Advanced vizualisation
Basics of consuption-based alternative data
Text mining methodologies
Web-scritpting tools"
,Data Science Fundamentals Specialization,University of California,"This specialization demystifies data science and familiarizes learners with key data science skills, techniques, and concepts. The course begins with foundational concepts such as analytics taxonomy, the Cross-Industry Standard Process for Data Mining, and data diagnostics, and then moves on to compare data science with classical statistical techniques. The course also provides an overview of the most common techniques used in data science, including data analysis, statistical modeling, data engineering, manipulation of data at scale (big data), algorithms for data mining, data quality, remediation and consistency operations.","The knowledge and skills needed to work in the data science profession

How data science is used to solve business problems

The benefits of using the cross-industry standard process for data mining (CRISP-DM)

The application of predictive modeling to professional and academic work","Environmental Data Analysis
Data Documentation
Geophysical Data
Data Mining"
,Data Processing and Feature Engineering with MATLAB,MathWorks,"In this course, you will build on the skills learned in Exploratory Data Analysis with MATLAB to lay the foundation required for predictive modeling.  This intermediate-level course is useful to anyone who needs to combine data from multiple sources or times and has an interest in modeling.  

These skills are valuable for those who have domain knowledge and some exposure to computational tools, but no programming background. To be successful in this course, you should have some background in basic statistics (histograms, averages, standard deviation, curve fitting, interpolation) and have completed Exploratory Data Analysis with MATLAB. 

Throughout the course, you will merge data from different data sets and handle common scenarios, such as missing data.  In the last module of the course, you will explore special techniques for handling textual, audio, and image data, which are common in data science and more advanced modeling.   By the end of this course, you will learn how to visualize your data, clean it up and arrange it for analysis, and identify the qualities necessary to answer your questions.  You will be able to visualize the distribution of your data and use visual inspection to address artifacts that affect accurate modeling.",,"Feature Engineering
Matlab
Data Cleansing"
,Data Mining Specialization,Illinois,"The Data Mining Specialization teaches data mining techniques for both structured data which conform to a clearly defined schema, and unstructured data which exist in the form of natural language text. Specific course topics include pattern discovery, clustering, text retrieval, text mining and analytics, and data visualization. The Capstone project task is to solve real-world data mining challenges using a restaurant review data set from Yelp.

Courses 2 - 5 of this Specialization form the lecture component of courses in the online Master of Computer Science Degree in Data Science. You can apply to the degree program either before or after you begin the Specialization.",,"Data Clustering Algorithms
Text Mining
Data Visualization (DataViz)
Data Mining
Data Visualization Software
Tableau Software
Data Virtualization
Information Retrieval (IR)
Document Retrieval
Machine Learning
Recommender Systems
Probabilistic Models"
